title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,470 ratings",In Stock
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.5 out of 5 stars,62 ratings,Only 5 left in stock - order soon.
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"5,195 ratings",In Stock
PlayStation 4 Slim 500GB Console [Discontinued],,4.5 out of 5 stars,"1,891 ratings",In Stock
"OIVO PS4 Stand Cooling Fan Station for Playstation 4/PS4 Slim/PS4 Pro, PS4 Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station and 12 Game Slots",,4.5 out of 5 stars,"45,436 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],,4.7 out of 5 stars,"2,818 ratings",Not Available
PlayStation 4 Console 500 GB (Renewed),,5.0 out of 5 stars,3 ratings,Not Available
PowerA USB Charging Cable for PlayStation 4,,4.6 out of 5 stars,"29,405 ratings",In Stock
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.8 out of 5 stars,"6,471 ratings",Not Available
"DualShock 4 Wireless Controller for PlayStation 4 , television- Jet Black (Renewed)",,3.9 out of 5 stars,"1,740 ratings",Not Available
Among Us: Crewmate Edition (PS4) - PlayStation 4,,4.3 out of 5 stars,347 ratings,Only 1 left in stock - order soon.
"Puning Wireless PS4 Controller with USB Cable/1000mAh Battery/Vibration/6-Axis Motion Control/3.5mm Audio Jack,Remote Controller Compatible with PS4, Slim, Pro and Windows PC",,4.3 out of 5 stars,11 ratings,In Stock
PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,"1,124 ratings",Only 1 left in stock - order soon.
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,699 ratings",In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console (Renewed),,4.2 out of 5 stars,"1,412 ratings",Only 6 left in stock - order soon.
PlayStation 4 Console - 1TB Slim Edition (Renewed),,4.2 out of 5 stars,70 ratings,Not Available
Sea of Stars - PlayStation 4,,Previous page,,In Stock
"Sombbry Wireless Controller for PS4, Wired P-4 Pro Controller with Paddles, White P-4 Controller Accessories, P-4 Accessories Perfect Adaptive Full Version 4/4 Pro/Slim.",,4.7 out of 5 stars,164 ratings,In Stock
